Date,Open,High,Low,Close,Adj Close,Volume
2016-03-29,13.386667,13.386667,13.166667,13.268333,12.897375,3000
2016-03-30,13.561667,14.118333,13.561667,13.976667,13.585901,39600
2016-03-31,13.850000,13.851667,13.813333,13.813333,13.427135,9600
2016-04-01,13.813333,13.813333,13.813333,13.813333,13.427135,0
2016-04-04,13.718333,13.761667,13.666667,13.666667,13.284570,7200
2016-04-05,13.578333,13.578333,13.488333,13.488333,13.111221,7200
2016-04-06,13.451667,13.666667,13.451667,13.666667,13.284570,6000
2016-04-07,13.286667,13.286667,13.286667,13.286667,12.915195,1200
2016-04-08,13.600000,13.716667,13.396667,13.500000,13.122561,190800
2016-04-11,13.716667,13.895000,13.516667,13.516667,13.138762,98400
2016-04-12,13.790000,13.790000,13.153333,13.490000,13.112843,137400
2016-04-13,13.580000,14.086667,13.580000,14.013333,13.621544,74400
2016-04-14,14.016667,14.016667,13.686667,13.943333,13.553502,56400
2016-04-15,14.035000,14.035000,13.711667,13.711667,13.328312,30000
2016-04-18,13.735000,13.768333,13.548333,13.696667,13.313730,94200
2016-04-19,13.660000,13.815000,13.318333,13.530000,13.151724,39000
2016-04-20,13.483333,13.870000,13.395000,13.820000,13.433616,51000
2016-04-21,13.595000,13.700000,13.461667,13.648333,13.266749,36600
2016-04-22,13.685000,13.843333,13.443333,13.680000,13.297531,55800
2016-04-25,13.676667,13.676667,13.388333,13.391667,13.017258,22200
2016-04-26,13.468333,13.908333,13.468333,13.601667,13.221387,223800
2016-04-27,13.705000,13.918333,13.333333,13.918333,13.529200,19200
2016-04-28,14.116667,14.116667,13.215000,13.325000,12.952455,31800
2016-04-29,13.333333,13.333333,12.360000,12.498333,12.148899,72600
2016-05-02,12.465000,12.778333,12.465000,12.778333,12.421073,37200
2016-05-03,12.565000,12.591667,12.411667,12.536667,12.186163,28800
2016-05-04,12.323333,12.531667,12.185000,12.315000,11.970693,108000
2016-05-05,12.306667,12.451667,12.288333,12.331667,11.986897,27000
2016-05-06,12.110000,12.341667,12.000000,12.336667,11.991754,316800
2016-05-09,12.310000,12.476667,12.253333,12.253333,11.910749,75000
2016-05-10,12.243333,12.665000,12.243333,12.661667,12.307667,75600
2016-05-11,12.468333,12.706667,12.468333,12.558333,12.207225,15000
2016-05-12,12.490000,12.490000,12.053333,12.183333,11.842707,17400
2016-05-13,12.326667,12.500000,12.233333,12.303333,11.959352,26400
2016-05-16,12.308333,12.806667,12.308333,12.721667,12.365990,21600
2016-05-17,12.656667,12.656667,12.408333,12.433333,12.085719,9000
2016-05-18,12.666667,12.950000,12.625000,12.713333,12.357890,25800
2016-05-19,12.500000,12.558333,12.458333,12.558333,12.207225,10200
2016-05-20,12.741667,13.385000,12.741667,13.340000,12.967038,144600
2016-05-23,13.350000,13.635000,13.350000,13.541667,13.163064,14400
2016-05-24,13.566667,14.143333,13.566667,14.143333,13.747909,18600
2016-05-25,14.291667,14.353333,14.181667,14.260000,13.861315,22200
2016-05-26,14.390000,14.515000,14.335000,14.335000,13.934217,57000
2016-05-27,14.601667,14.605000,14.445000,14.450000,14.046000,46800
2016-05-31,14.820000,14.820000,14.485000,14.666667,14.256611,12000
2016-06-01,14.546667,14.810000,14.546667,14.810000,14.395936,20400
2016-06-02,14.675000,14.720000,14.565000,14.685000,14.274430,126600
2016-06-03,14.831667,14.985000,14.641667,14.848333,14.433200,27600
2016-06-06,14.813333,14.938333,14.730000,14.938333,14.520681,8400
2016-06-07,14.936667,15.108333,14.880000,15.040000,14.619507,26400
2016-06-08,15.175000,15.175000,14.871667,14.956667,14.538506,15000
2016-06-09,14.696667,14.885000,14.681667,14.795000,14.381357,9000
2016-06-10,14.630000,14.753333,14.620000,14.753333,14.340854,7200
2016-06-13,14.505000,14.913333,14.505000,14.583333,14.175607,10200
2016-06-14,14.500000,14.640000,14.358333,14.640000,14.230690,22200
2016-06-15,14.508333,14.583333,14.508333,14.583333,14.175607,3600
2016-06-16,14.081667,14.500000,14.070000,14.500000,14.094605,16800
2016-06-17,14.433333,14.433333,14.433333,14.433333,14.029802,1200
2016-06-20,14.545000,14.843333,14.545000,14.843333,14.428338,2400
2016-06-21,14.661667,14.661667,14.661667,14.661667,14.251752,2400
2016-06-22,14.735000,14.735000,14.735000,14.735000,14.344394,3000
2016-06-23,15.088333,15.380000,15.050000,15.380000,14.972295,16200
2016-06-24,14.351667,14.575000,13.730000,13.730000,13.366036,44400
2016-06-27,13.538333,13.538333,12.861667,12.868333,12.527210,34800
2016-06-28,13.311667,13.560000,13.256667,13.545000,13.185939,27600
2016-06-29,13.798333,14.223333,13.775000,14.223333,13.846289,21600
2016-06-30,13.938333,14.701667,13.883333,14.701667,14.311946,17400
2016-07-01,14.593333,14.593333,14.328333,14.506667,14.122114,33600
2016-07-05,13.916667,14.076667,13.821667,13.938333,13.568844,16200
2016-07-06,13.771667,14.095000,13.771667,14.095000,13.721361,5400
2016-07-07,14.298333,14.590000,14.298333,14.440000,14.057212,9600
2016-07-08,14.736667,15.253333,14.736667,15.253333,14.848989,25800
2016-07-11,15.308333,15.556667,15.308333,15.498333,15.087491,27600
2016-07-12,15.603333,15.945000,15.603333,15.945000,15.522318,11400
2016-07-13,15.993333,16.084999,15.900000,16.084999,15.658607,13200
2016-07-14,15.951667,16.246668,15.951667,16.181667,15.752712,4800
2016-07-15,16.235001,16.235001,16.075001,16.093332,15.666720,8400
2016-07-18,16.105000,16.421667,16.105000,16.421667,15.986352,13200
2016-07-19,16.231667,16.333332,16.230000,16.266666,15.835459,8400
2016-07-20,16.501667,16.741667,16.501667,16.741667,16.297867,5400
2016-07-21,16.576668,16.658333,16.326668,16.326668,15.893866,10200
2016-07-22,16.306667,16.748333,16.301666,16.748333,16.304358,16200
2016-07-25,16.666668,16.920000,16.666668,16.846666,16.400084,25200
2016-07-26,17.091667,17.995001,17.041668,17.766666,17.295691,28200
2016-07-27,18.451668,18.451668,17.809999,17.969999,17.493639,26400
2016-07-28,17.868334,17.868334,17.695000,17.786667,17.315163,19200
2016-07-29,17.871668,17.871668,17.500000,17.696667,17.227551,43200
2016-08-01,17.696667,17.830000,17.488333,17.516666,17.052322,22800
2016-08-02,17.516666,17.516666,16.959999,17.233334,16.776501,19800
2016-08-03,17.048332,17.166668,17.048332,17.110001,16.656435,6000
2016-08-04,17.110001,17.110001,17.110001,17.110001,16.656435,0
2016-08-05,17.833332,18.100000,17.719999,18.100000,17.620192,13200
2016-08-08,18.403334,18.403334,17.825001,17.945000,17.469299,22200
2016-08-09,18.128332,18.203333,18.128332,18.160000,17.678602,15000
2016-08-10,18.053333,18.053333,17.655001,17.770000,17.298937,35400
2016-08-11,17.931667,17.959999,17.903334,17.959999,17.483904,6600
